"OTU_ID","Season","Year","Random: sample","Random: pcr","Genus","guild"
"OTU1213",0.0825,0.0877,0.4344,0.3955,"Phenoliferia","other"
"OTU1214",0.1189,0.1082,0.5179,0.2549,"Pseudoleucosporidium","other"
"OTU1215",0.1823,0.1495,0.3969,0.2713,NA,"pathotroph"
"OTU1216",0.0156,0.0212,0.3625,0.6007,"Ceratobasidium","plant_associated"
"OTU1223",0.0058,0.0066,0.6747,0.3129,"Meristemomyces","plant_associated"
"OTU1225",0.1167,0.1038,0.6154,0.1641,"Coniochaeta","dung_saprotroph"
"OTU1226",0.1803,0.0959,0.4887,0.2351,"Phenoliferia","other"
"OTU1227",0.1109,0.096,0.5883,0.2047,"Phaeotremella","pathotroph"
"OTU1229",0.275,0.1179,0.3459,0.2612,NA,"dark_unassigned"
"OTU1230",0.1171,0.1222,0.4882,0.2725,"Sporormiella","dung_saprotroph"
"OTU1231",0.0735,0.0815,0.6188,0.2262,"Coleophoma","plant_associated"
"OTU1234",0.2554,0.0632,0.4281,0.2533,"Mrakia","other"
"OTU1237",0.02,0.0251,0.3277,0.6272,NA,"dark_unassigned"
"OTU1239",0.2639,0.096,0.3285,0.3117,"Paraphaeomoniella","plant_associated"
"OTU1242",0.2797,0.1045,0.3118,0.304,"Spirographa","pathotroph"
"OTU1245",0.1311,0.1336,0.4629,0.2724,NA,"dark_unassigned"
"OTU1248",0.0668,0.0749,0.4815,0.3768,"Neophaeomoniella","plant_associated"
"OTU1250",0.2233,0.1205,0.4144,0.2418,"Vishniacozyma","other"
"OTU1257",0.1397,0.0716,0.4802,0.3085,"Piskurozyma","other"
"OTU1261",0.0048,0.0058,0.7032,0.2862,NA,"dark_unassigned"
"OTU1265",0.0197,0.0142,0.4436,0.5224,NA,"dark_unassigned"
"OTU1267",0.0578,0.0283,0.5247,0.3892,NA,"dark_unassigned"
"OTU1271",0.0903,0.125,0.3925,0.3923,"Aureobasidium","plant_associated"
"OTU1272",0.0687,0.0637,0.6016,0.266,"Epibryon","plant_associated"
"OTU1273",0.0463,0.0787,0.5644,0.3106,"Piskurozyma","other"
"OTU1275",0.1148,0.1056,0.421,0.3585,"Bergerella","pathotroph"
"OTU1276",0.2494,0.1513,0.363,0.2363,NA,"dark_unassigned"
"OTU1277",0.0443,0.0457,0.4752,0.4347,"Piskurozyma","other"
"OTU1279",0.1253,0.0885,0.522,0.2643,NA,"dark_unassigned"
"OTU1280",0.0348,0.0391,0.5695,0.3566,"Piskurozyma","other"
"OTU1283",0.3686,0.0786,0.2847,0.2681,NA,"dark_unassigned"
"OTU1288",0.1086,0.0815,0.5375,0.2724,"Piskurozyma","other"
"OTU1289",0.2717,0.1102,0.3294,0.2886,"Dothideales_gen_Incertae_sedis","other"
"OTU1298",0.126,0.1598,0.381,0.3333,"Parmeliopsis","other"
"OTU1300",0.2533,0.1321,0.3452,0.2694,NA,"dark_unassigned"
"OTU1301",0.0923,0.0768,0.5344,0.2966,NA,"dark_unassigned"
"OTU1305",0.0945,0.1035,0.6153,0.1867,NA,"dung_saprotroph"
"OTU1306",0.0378,0.0469,0.4644,0.4509,"Stipitochalara","other"
"OTU1307",0.2009,0.1224,0.369,0.3078,NA,"dark_unassigned"
"OTU1316",0.0513,0.0385,0.4942,0.416,"Piskurozyma","other"
"OTU1317",0.1337,0.1597,0.4676,0.239,NA,"dark_unassigned"
"OTU1320",0.0867,0.0836,0.6379,0.1919,NA,"dung_saprotroph"
"OTU1322",0.0895,0.1866,0.4111,0.3128,"Heterocephalacria","pathotroph"
"OTU1328",0.0625,0.0663,0.4099,0.4612,NA,"other"
"OTU1329",0.1004,0.1481,0.4908,0.2607,"Mucor","other"
"OTU1330",0.1814,0.1662,0.381,0.2714,NA,"plant_associated"
"OTU1336",0.1837,0.1019,0.4415,0.2729,NA,"dung_saprotroph"
"OTU1337",0.0623,0.0753,0.3999,0.4625,"Calycellina","plant_associated"
"OTU1340",0.2914,0.1051,0.3243,0.2792,NA,"dark_unassigned"
"OTU1342",0.0884,0.1082,0.4836,0.3198,"Piskurozyma","other"
"OTU1345",0.1231,0.131,0.3853,0.3605,NA,"dark_unassigned"
"OTU1353",0.0048,0.0057,0.7054,0.2841,"Sistotrema","plant_associated"
"OTU1357",0.0192,0.0203,0.7332,0.2273,NA,"pathotroph"
"OTU1359",0.0499,0.0418,0.6037,0.3046,NA,"dark_unassigned"
