"OTU_ID","Genus","guild","beta_season_mean","beta_season_support","beta_season_CrI2.5","beta_season_CrI97.5"
"OTU55","Venturia","plant_associated",0.199,0.81,-0.257,0.632
"OTU1213","Phenoliferia","other",0.198,0.811,-0.238,0.625
"OTU147","Bryochiton","plant_associated",0.198,0.75,-0.419,0.754
"OTU591",NA,"pathotroph",0.195,0.831,-0.206,0.607
"OTU1337","Calycellina","plant_associated",0.191,0.778,-0.234,0.646
"OTU1245",NA,"dark_unassigned",0.188,0.68,-0.361,0.827
"OTU43",NA,"dark_unassigned",0.183,0.645,-0.338,0.743
"OTU27",NA,"dark_unassigned",0.168,0.591,-0.45,0.989
"OTU14",NA,"dark_unassigned",0.162,0.753,-0.315,0.591
"OTU232",NA,"plant_associated",0.16,0.716,-0.432,0.721
"OTU113",NA,"pathotroph",0.146,0.749,-0.272,0.573
"OTU72","Krasilnikovozyma","other",0.142,0.75,-0.218,0.536
"OTU1432",NA,"plant_associated",0.14,0.732,-0.352,0.592
"OTU1392","Bannozyma","other",0.133,0.585,-0.401,0.825
"OTU1453","Piskurozyma","other",0.133,0.661,-0.393,0.675
"OTU62","Tausonia","other",0.132,0.575,-0.549,0.971
"OTU323",NA,"dark_unassigned",0.128,0.71,-0.335,0.569
"OTU632","Parmeliopsis","other",0.124,0.672,-0.376,0.647
"OTU829",NA,"other",0.123,0.729,-0.253,0.506
"OTU1026",NA,"dark_unassigned",0.12,0.738,-0.256,0.472
"OTU1463","Piskurozyma","other",0.12,0.689,-0.317,0.575
"OTU441","Venturia","plant_associated",0.119,0.551,-0.409,0.89
"OTU392","Pycnora","other",0.112,0.752,-0.172,0.421
"OTU275",NA,"dark_unassigned",0.104,0.72,-0.227,0.441
"OTU108","Coccomyces","plant_associated",0.098,0.694,-0.288,0.47
"OTU1230","Sporormiella","dung_saprotroph",0.097,0.609,-0.473,0.752
"OTU1364","Piskurozyma","other",0.097,0.63,-0.489,0.649
"OTU1388","Pseudohyphozyma","other",0.097,0.545,-0.431,0.756
"OTU1328",NA,"other",0.094,0.655,-0.341,0.553
"OTU1457",NA,"pathotroph",0.093,0.648,-0.37,0.555
"OTU1353","Sistotrema","plant_associated",0.092,0.725,-0.205,0.384
"OTU1455",NA,"dark_unassigned",0.092,0.736,-0.191,0.378
"OTU38","Spizellomycetales_gen_Incertae_sedis","other",0.091,0.725,-0.227,0.391
"OTU1153","Piskurozyma","other",0.089,0.565,-0.426,0.738
"OTU367","Itersonilia","plant_associated",0.086,0.624,-0.247,0.494
"OTU26",NA,"dark_unassigned",0.081,0.66,-0.286,0.457
"OTU1400",NA,"dark_unassigned",0.08,0.72,-0.177,0.349
"OTU1046",NA,"dark_unassigned",0.079,0.578,-0.474,0.686
"OTU137",NA,"dark_unassigned",0.077,0.727,-0.171,0.329
"OTU253","Tylospora","other",0.077,0.748,-0.134,0.308
"OTU1275","Bergerella","pathotroph",0.072,0.588,-0.674,0.777
"OTU542","Exobasidium","plant_associated",0.069,0.609,-0.402,0.553
"OTU295",NA,"dark_unassigned",0.068,0.693,-0.164,0.322
"OTU475",NA,"dark_unassigned",0.067,0.655,-0.283,0.391
"OTU1223","Meristemomyces","plant_associated",0.061,0.618,-0.238,0.403
"OTU1412","Piskurozyma","other",0.06,0.578,-0.52,0.59
"OTU356","Godronia","plant_associated",0.056,0.617,-0.391,0.454
"OTU1306","Stipitochalara","other",0.055,0.571,-0.372,0.529
